24 022222222201122112 0010315111212221 85 421121222122 05361 3111222222222 01222221 7930200112322000122000 0000000000011 0 06611111711012 0000021243130222222 002222212212233103234312222222121221 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000223 0310 001111335104131421111406004 4 6 114121162038561114 3 0 3 221
22 022222222222113200 0143420222222222  0 022222222222 05221 2112222222222 02211222  030152112241332122000 0000000000022 2 03511111720012 0000032246330222222 002222212212233232222212122222222100 9  01 0333  0321246 03 9 6 52222112212222225122222221221401 020224432 02101061415444112131511111426004 4 9 222133211951511333 0 1 1 211
14 022222222222113230 0010420222222222  0 022222222222 04241 2122221222222 01212222  000142110211532121000 0000000000021 0 3451200 000030 02020213432121222213012221222112222222122242121112222222 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 200000321 22 7 601111336124131511111402204 8 2 321340362204031222 3 0 3 812
13 022222222220113301 0110420222222222  0 022222222222 04231 3112222222212 02212122  000132111222000222311 0333333233200 3 0471200 000010 0000014232120222222 031112212212223313111212222212221100 5  01 0263  0321100102 7 3 92212221212222223312222121223121 111114121 21 8 956161663113232212221412204 5 1 132142231861813333 1 1 2 410
21 311212222222312210 0010320222222222  0 911112111112 01131 3111222222222 01221222  0111321 8111462122000 0000000000011 6 05523211311032 0000044341130222222 002222212221223132133412222222121100 2  01 0271  0511100 9311 6 72222211222122226311222221211124 412211121 21 7 841112444213131421111214014 6 5 711311122136463223 1 0 1 810
11 311222222122211110 0043420222222222  0 022222222222 04222 0222222222222 00222222  000152112211452121000 0000000000011 0 3452200 000030 0202034346230222222 002222212212232320123361111121221100 6  02 0343  0422100132 315 11212222222222213321122221221121 111224211 31 81051415445312131421111216004 5 8 242142291924552323 1 0 1 3 9
22 022222222222222212 0010420222222222  0 022222222222 05551 2212222221222 01221222  030142112212000111000 0000000000011 1 11123211611032 0000024332130222222 002222211222220133244512222122221222 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000322 01 3 401535443121031511111406004 3 3 122124 0 000000000 3 0 3 110
12 022222222222112211 0010420222222222  0 022222222222 05142 0222222222222 00222222  0001321 7122000122000 0000000000011 0 5352200 000010 0202022322120222222 012122212212233323213312122222223232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000221 41 7 501131434115131322111303004 7 51153328392664832323 2 0 21013
13 022222222220112220 0030220222222222  0 322112222212 05551 4112212222212 02212122  000161115322000221244 0333333333200 1 0272300 000030 00000231011112222214622112212221222223233312122222223211 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000222 03 51003132333113321421111406004 8 4 812037382301045321 2 0 2 3 6
23 022222222220112203 0010213122212221 15 511111222222 07552 0222222222222 00222222  0301622 0000000122000 0000000000033 1 0402222 020042 0000004101120222222 022211212212222332144471111112213222 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000311 24 7 905555555403131511111406004 9 41174123172078845211 3 0 3 0 9
22 022222222222111111 0010420222222222  0 022222222222 04441 2112222222222 01212222  013162115222000122000 0000000000011 3 0531212 014042 0000024232130222222 002222212221233332224431112222222100 3  05 0271  0321100122 8 6112222212122122223611212111221125 113124231 21 6 861111555321031511111426004 9 7 813522282408081333 2 0 2 4 9
11 411222221122113120 1043211222222221  0 321122221222 02221 1212222222222 01222122  012142112111561122000 0000000000011 2 05122211611042 0000024211130222222 002222212221232203233322112222221100 2  01 0373  0611100 63 7 1 91222221212222223212222221221122 213214323 01 81031666444211031511111416001 3 4 312315132038473523 2 1 3 1 9
21 421112222122132210 0010420222222222  0 022222222222 04221 2112222222222 01222122  030132112211461122000 0000000000011 4 05122211720042 0000034222130222222 002222212221223102144452111121221100 2  01 0371  0522100 63 6 9132222212212221226312222121221125 213123111 31 8 951114445401011322111126004 4 9 223116101938412222 1 0 1 210
